identity,Age,UR2006_num,p,Source,GenotypeModel,AttributionModel
3958,0-5,-3,0.8415702366341657,Ruminants,Island,Linear
4322,0-5,-3,0.7947758640200958,Ruminants,Island,Linear
4764,0-5,-3,0.86177845776657,Ruminants,Island,Linear
4832,0-5,-3,0.9031529687221018,Ruminants,Island,Linear
5903,0-5,-3,0.5651479494810873,Ruminants,Island,Linear
6097,0-5,-3,0.6766603946885191,Ruminants,Island,Linear
6596,0-5,-3,0.7689888859853898,Ruminants,Island,Linear
6982,0-5,-3,0.9325091767564737,Ruminants,Island,Linear
7149,0-5,-3,0.9063012039694103,Ruminants,Island,Linear
7724,0-5,-3,0.9244724836432024,Ruminants,Island,Linear
8520,0-5,-3,0.8653779855174725,Ruminants,Island,Linear
9054,0-5,-3,0.8729907459786832,Ruminants,Island,Linear
9635,0-5,-3,0.793240707261077,Ruminants,Island,Linear
9903,0-5,-3,0.7406850613116253,Ruminants,Island,Linear
9996,0-5,-3,0.7837542845901284,Ruminants,Island,Linear
358,"[5, Inf)",3,0.01434104539176344,Water,Island,Linear
1642,"[5, Inf)",3,1.3967039921715516e-8,Water,Island,Linear
1685,"[5, Inf)",3,0.010913750136820857,Water,Island,Linear
2495,"[5, Inf)",3,0.013021053742544753,Water,Island,Linear
2765,"[5, Inf)",3,0.020421226202964486,Water,Island,Linear
3958,"[5, Inf)",3,0.027529953574426728,Water,Island,Linear
4322,"[5, Inf)",3,2.1902320486077502e-11,Water,Island,Linear
4764,"[5, Inf)",3,4.45442297357601e-6,Water,Island,Linear
4832,"[5, Inf)",3,0.011273396455599102,Water,Island,Linear
5903,"[5, Inf)",3,7.799622918211454e-4,Water,Island,Linear
6097,"[5, Inf)",3,8.0640817146684e-7,Water,Island,Linear
6596,"[5, Inf)",3,5.7602042659019e-5,Water,Island,Linear
6982,"[5, Inf)",3,0.018633564749734023,Water,Island,Linear
7149,"[5, Inf)",3,0.011587182743913469,Water,Island,Linear
7724,"[5, Inf)",3,0.00945037022479688,Water,Island,Linear
8520,"[5, Inf)",3,0.0030715696709065748,Water,Island,Linear
9054,"[5, Inf)",3,4.6432258915123906e-4,Water,Island,Linear
9635,"[5, Inf)",3,0.015728574942721237,Water,Island,Linear
9903,"[5, Inf)",3,0.007785524768676263,Water,Island,Linear
9996,"[5, Inf)",3,1.3410547751042747e-4,Water,Island,Linear
358,"[5, Inf)",-1,0.010808493481736306,Water,Island,Linear
1642,"[5, Inf)",-1,7.819815787728027e-4,Water,Island,Linear
1685,"[5, Inf)",-1,0.02473247550034373,Water,Island,Linear
2495,"[5, Inf)",-1,0.01235379267759046,Water,Island,Linear
2765,"[5, Inf)",-1,0.04254722808916326,Water,Island,Linear
3958,"[5, Inf)",-1,0.011073199842305538,Water,Island,Linear
4322,"[5, Inf)",-1,5.440429153270701e-5,Water,Island,Linear
4764,"[5, Inf)",-1,8.617448077824313e-6,Water,Island,Linear
4832,"[5, Inf)",-1,0.030828963446241527,Water,Island,Linear
5903,"[5, Inf)",-1,0.020855520832593517,Water,Island,Linear
6097,"[5, Inf)",-1,2.944032557085106e-4,Water,Island,Linear
6596,"[5, Inf)",-1,0.006010634761156162,Water,Island,Linear
6982,"[5, Inf)",-1,0.014249032098054273,Water,Island,Linear
7149,"[5, Inf)",-1,3.9538952316837774e-5,Water,Island,Linear
7724,"[5, Inf)",-1,6.867190005450684e-4,Water,Island,Linear
8520,"[5, Inf)",-1,0.01338204956854824,Water,Island,Linear
9054,"[5, Inf)",-1,8.410975283287706e-4,Water,Island,Linear
9635,"[5, Inf)",-1,0.0031632670730513007,Water,Island,Linear
9903,"[5, Inf)",-1,4.870028503983601e-4,Water,Island,Linear
9996,"[5, Inf)",-1,0.006927884604453618,Water,Island,Linear
358,"[5, Inf)",1,0.012620599777461388,Water,Island,Linear
1642,"[5, Inf)",1,3.355633633856926e-6,Water,Island,Linear
1685,"[5, Inf)",1,0.016771052767624684,Water,Island,Linear
2495,"[5, Inf)",1,0.012912971993792691,Water,Island,Linear
2765,"[5, Inf)",1,0.03019733141147582,Water,Island,Linear
3958,"[5, Inf)",1,0.017755029556131213,Water,Island,Linear
4322,"[5, Inf)",1,3.505465522861419e-8,Water,Island,Linear
4764,"[5, Inf)",1,6.403035842541833e-6,Water,Island,Linear
4832,"[5, Inf)",1,0.019097870435756097,Water,Island,Linear
5903,"[5, Inf)",1,0.004095062667160186,Water,Island,Linear
6097,"[5, Inf)",1,1.556535975166829e-5,Water,Island,Linear
6596,"[5, Inf)",1,5.946043892675568e-4,Water,Island,Linear
6982,"[5, Inf)",1,0.016646450015931007,Water,Island,Linear
7149,"[5, Inf)",1,6.906582567896554e-4,Water,Island,Linear
7724,"[5, Inf)",1,0.0026312111757060973,Water,Island,Linear
8520,"[5, Inf)",1,0.0065089723094214295,Water,Island,Linear
9054,"[5, Inf)",1,6.376473355137479e-4,Water,Island,Linear
9635,"[5, Inf)",1,0.007191566302888504,Water,Island,Linear
9903,"[5, Inf)",1,0.001988435706009585,Water,Island,Linear
9996,"[5, Inf)",1,0.0010039221416721846,Water,Island,Linear
358,0-5,-1,0.009353776946133825,Water,Island,Linear
1642,0-5,-1,7.359248402133544e-4,Water,Island,Linear
1685,0-5,-1,0.007184565887528177,Water,Island,Linear
2495,0-5,-1,0.02750601608689618,Water,Island,Linear
2765,0-5,-1,0.0020024444394605477,Water,Island,Linear
3958,0-5,-1,2.2136635775234752e-4,Water,Island,Linear
4322,0-5,-1,7.984931876208799e-4,Water,Island,Linear
4764,0-5,-1,7.362998717725288e-5,Water,Island,Linear
4832,0-5,-1,0.03028802192417877,Water,Island,Linear
5903,0-5,-1,0.007926973608191471,Water,Island,Linear
6097,0-5,-1,3.84462321277744e-4,Water,Island,Linear
6596,0-5,-1,0.017801713958351985,Water,Island,Linear
6982,0-5,-1,0.015323760984474539,Water,Island,Linear
7149,0-5,-1,0.0024008443092848044,Water,Island,Linear
7724,0-5,-1,0.0017586204928643596,Water,Island,Linear
8520,0-5,-1,0.004140891356247146,Water,Island,Linear
9054,0-5,-1,5.884964549765201e-4,Water,Island,Linear
9635,0-5,-1,0.0038948781155923877,Water,Island,Linear
9903,0-5,-1,1.3258591351656923e-4,Water,Island,Linear
9996,0-5,-1,0.007918398179265295,Water,Island,Linear
358,"[5, Inf)",2,0.013513901499018221,Water,Island,Linear
1642,"[5, Inf)",2,2.17298655753303e-7,Water,Island,Linear
1685,"[5, Inf)",2,0.013597865012636667,Water,Island,Linear
2495,"[5, Inf)",2,0.013033902839832308,Water,Island,Linear
2765,"[5, Inf)",2,0.024983606752724766,Water,Island,Linear
3958,"[5, Inf)",2,0.022202232777868695,Water,Island,Linear
4322,"[5, Inf)",2,8.796164724406231e-10,Water,Island,Linear
4764,"[5, Inf)",2,5.385210902335334e-6,Water,Island,Linear
4832,"[5, Inf)",2,0.014789249590504587,Water,Island,Linear
5903,"[5, Inf)",2,0.0017921518094940062,Water,Island,Linear
6097,"[5, Inf)",2,3.5518854976688926e-6,Water,Island,Linear
6596,"[5, Inf)",2,1.854633397927866e-4,Water,Island,Linear
6982,"[5, Inf)",2,0.017719874456431334,Water,Island,Linear
7149,"[5, Inf)",2,0.002848263402194354,Water,Island,Linear
7724,"[5, Inf)",2,0.005029061817810129,Water,Island,Linear
