ST,Source,Model,m,lci,uci,ucl,lcl
4491,Ruminants,Island,0.011796099144621791,0.001988812096473053,0.030647942661727934,0.018877615728970096,0.006564199119062151
4491,Water,Dirichlet,0.47589147393330333,0.09250827521368166,0.8607816613040503,0.6725012738755225,0.2803405757315665
4491,Water,Island,0.8781746266357969,0.8350412626707531,0.9161880662921942,0.8947800938872803,0.8600522241375788
4492,Other,Dirichlet,0.3517069885696459,0.061078635323441446,0.7455577828651516,0.5288019818076957,0.18944611433607944
4492,Other,Island,0.40083240583555607,0.37492160487213744,0.42428670341113206,0.41131054551084556,0.3899247835488162
4492,Poultry,Dirichlet,0.08521897211103399,0.0031339363491058843,0.4001315089312807,0.1899256678581973,0.027575870029815045
4492,Poultry,Island,0.02218051740237488,0.012323653923747253,0.03482173607926344,0.027288972906774574,0.017550465854951514
4492,Ruminants,Dirichlet,0.2892305315005116,0.04788618441284427,0.6966870914286932,0.46405906803221,0.15405897830836818
4492,Ruminants,Island,0.4677854195076243,0.44462962472816764,0.49128349892940587,0.4779880165320376,0.45758893806448836
4492,Water,Dirichlet,0.16796269702520453,0.006734602534705148,0.5956826215248346,0.338710081992509,0.0583183745592417
4492,Water,Island,0.10864062147877128,0.08173567728422965,0.13817964434472635,0.12115310248016418,0.09658741858552597
4493,Other,Dirichlet,0.1795813322614489,0.007813101681070508,0.6513384949062024,0.37018338016681684,0.06350972878162137
4493,Other,Island,0.013995357231121703,0.004201564627950992,0.029447699456927066,0.02003070712229895,0.008986212010042759
4493,Poultry,Dirichlet,0.10655298970597463,0.0035888093429089045,0.48593786152444823,0.23384645123359724,0.034864134221228846
4493,Poultry,Island,0.01789251468068482,0.004534585611103538,0.037562831806774014,0.02575134543836593,0.011349608503123557
4493,Ruminants,Dirichlet,0.36250250681704776,0.06297007321139847,0.7914934635297126,0.5640264310602728,0.19357158437938965
4493,Ruminants,Island,0.9082694320812813,0.8722918794215807,0.9400346305447581,0.9230912896441842,0.8930156449238497
4493,Water,Dirichlet,0.2132860978986826,0.008552809417752789,0.6831035718454935,0.41898886626537807,0.0732924950492575
4493,Water,Island,0.0579498085988151,0.03178086296949887,0.08972189500456185,0.07131727662932716,0.045724885395673875
4494,Other,Dirichlet,0.14747596630271437,0.006001107969045791,0.557152503092216,0.3063987767404098,0.050963762732827024
4494,Other,Island,0.01396201022861006,0.004187297995472233,0.029356391604252793,0.01996434114950432,0.008960285607544615
4494,Poultry,Dirichlet,0.0869933983925596,0.0032827166409033427,0.4118319275078935,0.19744009630627424,0.028680236371049786
4494,Poultry,Island,0.01781103127091855,0.0045168045478629635,0.037327617753798135,0.025652963175595418,0.011298929631519234
4494,Ruminants,Dirichlet,0.47948542336400357,0.1333661620468092,0.8478425858551721,0.6554205059639996,0.30694281420272745
4494,Ruminants,Island,0.9084893751640442,0.8725493551560793,0.9401935759685467,0.9232556540132911,0.893210103671831
4494,Water,Dirichlet,0.1762798422681061,0.007240124553737418,0.6117551501384229,0.3505523192092519,0.06138447612947367
4494,Water,Island,0.05788363115736553,0.03172358453229458,0.08966432880225787,0.07126844855059593,0.04566122215957055
4495,Other,Dirichlet,0.169284426981566,0.006885729223305621,0.6122960997101714,0.33997949723494625,0.05588191797449289
4495,Other,Island,0.09924164638187953,0.06494085647547558,0.14061929205010404,0.11639039673992237,0.08386569364862702
4495,Poultry,Dirichlet,0.09931135359865784,0.003713121503208309,0.469312786566202,0.22299043284697562,0.03253528925118679
4495,Poultry,Island,0.00912529302511269,0.0017891453944623085,0.02357024416105651,0.0147107736068848,0.005037469911472599
4495,Ruminants,Dirichlet,0.1389430815997395,0.005411947988489242,0.5672484262657623,0.2953702138786123,0.04661634365066639
4495,Ruminants,Island,0.011949301799420688,0.002016803482448573,0.03109286906526523,0.019140836048539982,0.006657179898472341
4495,Water,Dirichlet,0.4782115522961174,0.09303701942229693,0.8583603544079753,0.6688145412321865,0.2826557200696526
4495,Water,Island,0.8772001417142283,0.8337273097853518,0.9155340898988138,0.8940120917145149,0.858817953344215
4496,Other,Dirichlet,0.4256624764793462,0.07579045051224582,0.8259432274579117,0.6177430728153948,0.23925075456786232
4496,Other,Island,0.8035147225330397,0.753132676169975,0.8503424009849544,0.8247566529709065,0.7823217176750592
4496,Poultry,Dirichlet,0.10239080692187817,0.0035961254200202117,0.4797631605249844,0.2313026406708976,0.03270691731103101
4496,Poultry,Island,0.025471023083825504,0.012727079604911717,0.04424123020804087,0.03293208970900941,0.019226633348400513
4496,Ruminants,Dirichlet,0.14062655321959297,0.0051252026024238935,0.5787288560103494,0.3045891342073245,0.046917307192921684
4496,Ruminants,Island,0.009482521502419872,0.0014250161924774722,0.026429334099065487,0.015629919650070708,0.00499076493321042
4496,Water,Dirichlet,0.20374718102303668,0.008557261071076495,0.6712628461162254,0.40394933709999753,0.07119550993993007
4496,Water,Island,0.15913215927191754,0.11376704485793704,0.20947130592239285,0.18042784094784803,0.13905382144662934
4497,Other,Dirichlet,0.32935710078852576,0.05475601710282834,0.7273427508220023,0.5092287741515595,0.17511801108270472
4497,Other,Island,0.4246036492678771,0.3969113166677049,0.45297025864120166,0.43673741103895936,0.41256638797453127
4497,Poultry,Dirichlet,0.08134714641454409,0.00312982804474584,0.3889617626077929,0.18008803369653092,0.025918879994176896
